Lat,Lng,Year,Month,Severity
18.68,-87.71,2005,8,1
18.68,-87.71,2005,8,1
18.71,-87.71,2005,5,1
18.71,-87.71,2005,5,1
18.69,-87.71,2005,6,1
18.63,-87.72,2005,6,0
18.71,-87.70,2005,12,1
18.71,-87.71,2005,11,3
18.72,-87.70,2006,5,2
18.69,-87.71,2006,5,1
18.69,-87.71,2006,5,2
18.67,-87.72,2006,3,3
18.69,-87.71,2006,5,1
18.69,-87.71,2006,5,2
18.69,-87.71,2006,5,1
18.72,-87.70,2006,5,1
18.66,-87.72,2006,6,2
18.66,-87.72,2006,6,1
18.69,-87.71,2006,5,1
18.66,-87.72,2006,6,1
18.69,-87.71,2006,6,2
18.63,-87.72,2006,6,2
18.74,-87.68,2006,6,2
18.67,-87.72,2005,8,1
18.71,-87.71,2005,8,2
18.71,-87.71,2005,11,2
18.72,-87.70,2005,11,2
18.72,-87.70,2005,11,1
18.72,-87.70,2005,12,1
18.68,-87.71,2005,12,0
18.68,-87.71,2005,12,0
18.68,-87.71,2005,8,1
18.71,-87.71,2005,8,2
18.74,-87.68,2006,6,2
18.72,-87.70,2006,6,1
18.74,-87.67,2006,6,0
18.66,-87.72,2006,6,2
18.66,-87.72,2006,6,2
18.66,-87.72,2006,6,1
18.72,-87.70,2006,6,1
18.66,-87.72,2006,6,1
18.72,-87.70,2006,6,1
18.72,-87.70,2006,5,1
18.69,-87.71,2006,5,1
18.69,-87.71,2006,5,2
18.69,-87.71,2006,5,2
18.67,-87.72,2005,6,3
18.69,-87.71,2005,6,1
18.66,-87.72,2005,5,0
18.72,-87.70,2005,5,1
18.72,-87.70,2005,5,1
18.66,-87.72,2005,5,0
18.68,-87.71,2005,5,1
18.72,-87.70,2005,5,2
18.66,-87.72,2005,6,1
18.66,-87.72,2005,6,1
18.66,-87.72,2005,6,2
18.66,-87.72,2005,6,0
18.69,-87.71,2005,6,1
18.72,-87.70,2005,6,1
18.69,-87.71,2005,5,1
18.81,-87.36,1998,10,1
20.52,-105.36,1998,,3
23.43,-109.38,1997,8,2
21.05,-105.26,1997,10,3
16.00,-95.00,1998,9,3
20.51,-105.38,1998,,3
20.02,-87.46,2004,10,2
19.88,-87.41,2004,10,2
19.88,-87.41,2004,10,2
20.05,-87.47,2004,10,1
20.10,-87.46,2005,2,0
20.10,-87.46,2005,2,0
20.10,-87.46,2005,2,0
20.05,-87.47,2005,2,0
20.05,-87.46,2005,2,0
19.93,-87.43,2005,2,0
20.10,-87.46,2004,11,3
20.01,-87.46,2004,11,1
20.01,-87.46,2004,11,1
19.88,-87.42,2005,2,1
19.88,-87.41,2005,2,1
19.97,-87.46,2005,2,0
19.93,-87.43,2005,2,0
20.10,-87.46,2005,6,2
20.05,-87.46,2005,6,1
20.04,-87.47,2005,6,1
20.10,-87.46,2005,6,2
19.88,-87.41,2005,6,3
19.88,-87.41,2005,6,3
20.10,-87.46,2005,8,2
20.10,-87.46,2005,8,2
19.88,-87.41,2005,8,2
20.05,-87.47,2005,9,1
20.05,-87.46,2005,9,2
20.10,-87.46,2005,12,2
20.10,-87.46,2005,12,2
20.10,-87.46,2005,12,3
20.05,-87.46,2005,12,2
20.02,-87.46,2005,12,2
20.10,-87.46,2005,5,2
20.10,-87.46,2005,5,0
20.01,-87.46,2005,5,2
20.01,-87.46,2005,5,2
19.97,-87.46,2006,6,2
20.10,-87.46,2006,6,3
20.10,-87.46,2006,6,1
20.10,-87.46,2006,6,2
20.10,-87.46,2006,6,3
20.10,-87.46,2006,6,3
20.10,-87.46,2006,6,3
20.10,-87.46,2006,6,3
19.88,-87.43,2006,6,2
19.88,-87.43,2006,6,2
20.01,-87.46,2005,5,2
20.01,-87.46,2005,5,1
20.02,-87.46,2005,5,2
20.02,-87.46,2005,5,1
20.02,-87.46,2005,5,1
19.88,-87.42,2005,5,3
19.88,-87.41,2005,5,0
20.02,-87.46,2005,3,0
20.02,-87.46,2005,5,2
19.93,-87.43,2005,5,2
19.97,-87.45,2005,5,1
20.05,-87.47,2005,5,2
20.05,-87.47,2005,5,1
20.02,-87.46,2006,2,1
20.05,-87.47,2006,2,2
20.05,-87.46,2006,2,3
20.05,-87.47,2006,2,1
20.05,-87.46,2006,2,3
19.93,-87.43,2006,3,3
19.93,-87.43,2006,3,1
20.01,-87.46,2005,11,1
20.01,-87.46,2005,11,2
20.02,-87.46,2005,11,2
20.02,-87.46,2005,11,2
19.97,-87.45,2005,11,2
19.97,-87.45,2005,11,2
20.05,-87.47,2005,12,1
20.05,-87.47,2005,12,1
19.97,-87.45,2005,8,3
19.97,-87.45,2005,8,3
19.97,-87.45,2005,8,3
20.02,-87.46,2005,8,2
20.01,-87.46,2005,8,1
20.02,-87.46,2005,8,2
20.02,-87.46,2005,8,2
20.02,-87.46,2005,8,2
19.97,-87.45,2005,8,2
19.97,-87.45,2005,8,2
20.04,-87.47,2005,3,1
19.88,-87.42,2005,3,0
20.01,-87.46,2004,11,1
20.01,-87.46,2004,11,0
20.05,-87.47,2004,11,2
19.93,-87.43,2004,11,3
19.97,-87.45,2005,2,0
19.97,-87.45,2005,2,1
20.01,-87.46,2005,2,0
20.05,-87.47,2005,2,0
20.05,-87.47,2005,2,1
20.05,-87.47,2004,10,2
20.05,-87.47,2004,10,2
20.10,-87.46,2004,10,2
20.10,-87.46,2004,10,2
20.01,-87.46,2006,3,0
20.01,-87.46,2006,3,0
19.93,-87.43,2006,3,2
19.93,-87.43,2006,3,1
19.93,-87.43,2006,3,1
20.05,-87.46,2005,9,1
19.97,-87.45,2004,10,1
19.97,-87.45,2004,10,2
19.93,-87.43,2004,10,3
20.04,-87.47,2004,10,2
20.04,-87.47,2004,10,2
20.05,-87.47,2004,11,1
20.04,-87.47,2004,11,0
20.04,-87.47,2004,11,2
19.88,-87.41,2004,10,2
19.93,-87.43,2004,10,1
19.97,-87.46,2004,10,1
19.97,-87.46,2004,10,2
20.05,-87.47,2005,2,0
20.05,-87.46,2005,2,0
20.05,-87.47,2005,2,0
20.05,-87.47,2005,2,0
20.04,-87.47,2005,2,1
20.04,-87.47,2005,2,1
20.10,-87.46,2005,2,2
19.88,-87.42,2005,2,1
19.93,-87.43,2004,11,3
19.88,-87.43,2004,11,1
19.88,-87.43,2004,11,3
20.05,-87.46,2005,2,0
19.79,-87.43,2005,2,1
19.79,-87.43,2005,2,2
19.97,-87.45,2005,3,0
20.05,-87.46,2005,3,0
20.02,-87.46,2005,3,1
19.93,-87.43,2005,3,0
20.05,-87.47,2005,8,1
20.05,-87.47,2005,8,2
19.97,-87.45,2005,8,0
20.05,-87.47,2005,8,0
20.04,-87.47,2005,6,2
20.01,-87.46,2005,8,2
19.93,-87.43,2005,9,1
20.05,-87.47,2005,9,2
20.05,-87.47,2005,9,2
20.05,-87.47,2005,9,2
19.93,-87.43,2005,9,3
19.93,-87.43,2005,9,2
20.05,-87.47,2005,12,0
20.05,-87.47,2005,12,0
20.05,-87.46,2005,12,1
20.05,-87.46,2005,12,3
20.05,-87.46,2005,12,1
19.97,-87.45,2005,12,1
19.97,-87.45,2005,12,2
20.05,-87.46,2005,9,3
19.93,-87.43,2005,9,1
19.93,-87.43,2005,9,2
20.05,-87.46,2006,2,2
20.02,-87.46,2006,3,1
20.02,-87.46,2006,3,3
20.05,-87.47,2006,3,1
20.05,-87.47,2006,3,0
19.93,-87.43,2006,3,3
19.93,-87.43,2006,3,1
20.05,-87.47,2006,2,0
20.05,-87.47,2006,2,3
20.05,-87.47,2006,2,2
20.02,-87.46,2006,2,3
20.05,-87.46,2006,2,0
20.01,-87.46,2006,2,0
20.05,-87.46,2006,2,2
20.02,-87.46,2005,12,2
20.05,-87.47,2005,12,1
20.05,-87.47,2005,12,3
20.05,-87.47,2005,12,2
20.05,-87.47,2005,12,2
20.05,-87.46,2005,12,3
20.10,-87.46,2005,12,1
20.10,-87.46,2005,12,2
20.05,-87.47,2005,5,2
20.04,-87.47,2005,5,2
20.04,-87.47,2005,5,1
19.97,-87.45,2005,5,1
19.97,-87.45,2005,5,3
20.05,-87.47,2005,5,2
20.05,-87.47,2005,5,1
19.88,-87.42,2005,5,2
19.88,-87.42,2005,5,2
19.93,-87.43,2005,6,2
